season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2014,1,2014-09-04T19:30:00-05:00,Seahawks,36,16,Packers
2014,1,2014-09-07T12:00:00-05:00,Bears,20,23,Bills
2014,1,2014-09-07T12:00:00-05:00,Chiefs,10,26,Titans
2014,1,2014-09-07T12:00:00-05:00,Dolphins,33,20,Patriots
2014,1,2014-09-07T12:00:00-05:00,Eagles,34,17,Jaguars
2014,1,2014-09-07T12:00:00-05:00,Falcons,37,34,Saints
2014,1,2014-09-07T12:00:00-05:00,Jets,19,14,Raiders
2014,1,2014-09-07T12:00:00-05:00,Rams,6,34,Vikings
2014,1,2014-09-07T12:00:00-05:00,Ravens,16,23,Bengals
2014,1,2014-09-07T12:00:00-05:00,Steelers,30,27,Browns
2014,1,2014-09-07T12:00:00-05:00,Texans,17,6,Redskins
2014,1,2014-09-07T15:25:00-05:00,Buccaneers,14,20,Panthers
2014,1,2014-09-07T15:25:00-05:00,Cowboys,17,28,49ers
2014,1,2014-09-07T19:30:00-05:00,Broncos,31,24,Colts
2014,1,2014-09-08T18:10:00-05:00,Lions,35,14,Giants
2014,1,2014-09-08T21:20:00-05:00,Cardinals,18,17,Chargers
2014,2,2014-09-11T19:25:00-05:00,Ravens,26,6,Steelers
2014,2,2014-09-14T12:00:00-05:00,Bengals,24,10,Falcons
2014,2,2014-09-14T12:00:00-05:00,Bills,29,10,Dolphins
2014,2,2014-09-14T12:00:00-05:00,Browns,26,24,Saints
2014,2,2014-09-14T12:00:00-05:00,Giants,14,25,Cardinals
2014,2,2014-09-14T12:00:00-05:00,Panthers,24,7,Lions
2014,2,2014-09-14T12:00:00-05:00,Redskins,41,10,Jaguars
2014,2,2014-09-14T12:00:00-05:00,Titans,10,26,Cowboys
2014,2,2014-09-14T12:00:00-05:00,Vikings,7,30,Patriots
2014,2,2014-09-14T15:05:00-05:00,Buccaneers,17,19,Rams
2014,2,2014-09-14T15:05:00-05:00,Chargers,30,21,Seahawks
2014,2,2014-09-14T15:25:00-05:00,Broncos,24,17,Chiefs
2014,2,2014-09-14T15:25:00-05:00,Packers,31,24,Jets
2014,2,2014-09-14T15:25:00-05:00,Raiders,14,30,Texans
2014,2,2014-09-14T19:30:00-05:00,49ers,20,28,Bears
2014,2,2014-09-15T19:30:00-05:00,Colts,27,30,Eagles
2014,3,2014-09-18T19:25:00-05:00,Falcons,56,14,Buccaneers
2014,3,2014-09-21T12:00:00-05:00,Bengals,33,7,Titans
2014,3,2014-09-21T12:00:00-05:00,Bills,10,22,Chargers
2014,3,2014-09-21T12:00:00-05:00,Browns,21,23,Ravens
2014,3,2014-09-21T12:00:00-05:00,Eagles,37,34,Redskins
2014,3,2014-09-21T12:00:00-05:00,Giants,30,17,Texans
2014,3,2014-09-21T12:00:00-05:00,Jaguars,17,44,Colts
